Winner,Team 1 Side,Team 1 Pick Order,Team 1 Pick 1,Team 1 Pick 2,Team 1 Pick 3,Team 1 Pick 4,Team 1 Pick 5,Team 1 Name,Team 2 Name,Team 2 Pick 1,Team 2 Pick 2,Team 2 Pick 3,Team 2 Pick 4,Team 2 Pick 5,Team 2 Side,Team 2 Pick Order,Stage
2,Dire,2nd Pick,Warlock,Legion Commander,Enchantress,Alchemist,Outworld Devourer,Virtus Pro,OG,Treant Protector,Dazzle,Centaur Warrunner,Troll Warlord,Timbersaw,Radiant,1st Pick,Kiev Major
2,Dire,2nd Pick,Magnus,Crystal Maiden,Monkey King,Juggernaut,Silencer,Virtus Pro,OG,Warlock,Terrorblade,Earth Spirit,Enigma,Ember Spirit,Radiant,1st Pick,Kiev Major
1,Radiant,1st Pick,Warlock,Axe,Lifestealer,Dragon Knight,Night Stalker,Virtus Pro,OG,Magnus,Phoenix,Elder Titan,Storm Spirit,Medusa,Dire,2nd Pick,Kiev Major
1,Dire,2nd Pick,Warlock,Magnus,Sand King,Terrorblade,Ursa,Virtus Pro,OG,Monkey King,Phoenix,Spectre,Batrider,Templar Assassin,Radiant,1st Pick,Kiev Major
2,Dire,2nd Pick,Warlock,Magnus,Ursa,Tusk,Slark,Virtus Pro,OG,Monkey King,Terrorblade,Phoenix,Batrider,Invoker,Radiant,1st Pick,Kiev Major
1,Dire,1st Pick,Treant Protector,Crystal Maiden,Templar Assassin,Timbersaw,Axe,OG,Evil Geniuses,Io,Legion Commander,Rubick,Slark,Death Prophet,Radiant,2nd Pick,Kiev Major
1,Radiant,1st Pick,Treant Protector,Terrorblade,Legion Commander,Phoenix,Ember Spirit,OG,Evil Geniuses,Magnus,Spectre,Warlock,Monkey King,Queen of Pain,Dire,2nd Pick,Kiev Major
2,Radiant,2nd Pick,Warlock,Sand King,Riki,Sven,Ember Spirit,Invictus Gaming,Virtus Pro,Magnus,Juggernaut,Disruptor,Io,Templar Assassin,Dire,1st Pick,Kiev Major
2,Radiant,2nd Pick,Riki,Omniknight,Vengeful Spirit,Ember Spirit,Morphling,Invictus Gaming,Virtus Pro,Magnus,Spirit Breaker,Phoenix,Faceless Void,Venomancer,Dire,1st Pick,Kiev Major
1,Radiant,1st Pick,Treant Protector,Spectre,Legion Commander,Puck,Dazzle,Evil Geniuses,SG e-sports,Warlock,Clockwerk,Juggernaut,Lina,Batrider,Dire,2nd Pick,Kiev Major
2,Radiant,1st Pick,Riki,Rubick,Abaddon,Invoker,Lycan,Evil Geniuses,SG e-sports,Crystal Maiden,Enigma,Night Stalker,Terrorblade,Puck,Dire,2nd Pick,Kiev Major
1,Dire,2nd Pick,Crystal Maiden,Dark Seer,Spirit Breaker,Slark,Queen of Pain,Evil Geniuses,SG e-sports,Treant Protector,Lina,Juggernaut,Disruptor,Sand King,Radiant,1st Pick,Kiev Major
2,Radiant,2nd Pick,Alchemist,Crystal Maiden,Kunkka,Bristleback,Tiny,Team Faceless,OG,Naga Siren,Disruptor,Axe,Terrorblade,Elder Titan,Dire,1st Pick,Kiev Major
2,Radiant,1st Pick,Crystal Maiden,Nyx Assassin,Ogre Magi,Morphling,Outworld Devourer,Team Faceless,OG,Naga Siren,Disruptor,Pudge,Centaur Warrunner,Templar Assassin,Dire,2nd Pick,Kiev Major
1,Radiant,1st Pick,Crystal Maiden,Slark,Abaddon,Ogre Magi,Morphling,Team Faceless,OG,Alchemist,Batrider,Shadow Shaman,Enigma,Outworld Devourer,Dire,2nd Pick,Kiev Major
2,Dire,1st Pick,Omniknight,Ember Spirit,Treant Protector,Lifestealer,Pugna,Vici Gaming J,Virtus Pro,Dark Seer,Slardar,Ursa,Disruptor,Slark,Radiant,2nd Pick,Kiev Major
2,Radiant,2nd Pick,Omniknight,Treant Protector,Vengeful Spirit,Lina,Phantom Assassin,Vici Gaming J,Virtus Pro,Magnus,Ursa,Crystal Maiden,Rubick,Templar Assassin,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Warlock,Monkey King,Lifestealer,Lina,Sand King,Vici Gaming J,Virtus Pro,Legion Commander,Crystal Maiden,Ursa,Visage,Puck,Radiant,2nd Pick,Kiev Major
1,Radiant,1st Pick,Monkey King,Ember Spirit,Dark Seer,Phoenix,Wraith King,Invictus Gaming,Liquid,Spectre,Crystal Maiden,Earthshaker,Legion Commander,Outworld Devourer,Dire,2nd Pick,Kiev Major
2,Radiant,2nd Pick,Monkey King,Warlock,Legion Commander,Anti-Mage,Storm Spirit,Invictus Gaming,Liquid,Crystal Maiden,Earthshaker,Spectre,Dark Seer,Invoker,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Crystal Maiden,Monkey King,Batrider,Ember Spirit,Morphling,Invictus Gaming,Liquid,Tusk,Nature's Prophet,Visage,Templar Assassin,Weaver,Radiant,2nd Pick,Kiev Major
2,Dire,2nd Pick,Io,Beastmaster,Bounty Hunter,Invoker,Timbersaw,Team Secret,SG e-sports,Warlock,Sand King,Undying,Slark,Storm Spirit,Radiant,1st Pick,Kiev Major
2,Radiant,2nd Pick,Crystal Maiden,Abaddon,Spirit Breaker,Vengeful Spirit,Shadow Fiend,Team Secret,SG e-sports,Riki,Lina,Lifestealer,Dark Seer,Disruptor,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Warlock,Juggernaut,Tusk,Ember Spirit,Dark Seer,Team Secret,SG e-sports,Clockwerk,Kunkka,Disruptor,Troll Warlord,Alchemist,Radiant,2nd Pick,Kiev Major
2,Radiant,1st Pick,Beastmaster,Rubick,Phoenix,Medusa,Puck,Thunderbirds,Evil Geniuses,Io,Treant Protector,Legion Commander,Troll Warlord,Queen of Pain,Dire,2nd Pick,Kiev Major
2,Dire,2nd Pick,Bounty Hunter,Sand King,Dazzle,Luna,Death Prophet,Thunderbirds,Evil Geniuses,Riki,Crystal Maiden,Abaddon,Spectre,Storm Spirit,Radiant,1st Pick,Kiev Major
1,Dire,1st Pick,Treant Protector,Alchemist,Crystal Maiden,Legion Commander,Ember Spirit,OG,Wings / Team Random,Monkey King,Nature's Prophet,Rubick,Lina,Anti-Mage,Radiant,2nd Pick,Kiev Major
2,Dire,2nd Pick,Dazzle,Brewmaster,Tusk,Ember Spirit,Arc Warden,OG,Wings / Team Random,Vengeful Spirit,Batrider,Winter Wyvern,Troll Warlord,Death Prophet,Radiant,1st Pick,Kiev Major
1,Dire,1st Pick,Monkey King,Shadow Shaman,Spectre,Timbersaw,Enigma,OG,Wings / Team Random,Crystal Maiden,Night Stalker,Leshrac,Alchemist,Weaver,Radiant,2nd Pick,Kiev Major
2,Radiant,1st Pick,Ogre Magi,Outworld Devourer,Vengeful Spirit,Omniknight,Troll Warlord,TnC,Team Faceless,Crystal Maiden,Abaddon,Nyx Assassin,Slark,Medusa,Dire,2nd Pick,Kiev Major
1,Radiant,1st Pick,Crystal Maiden,Nyx Assassin,Slark,Axe,Windranger,TnC,Team Faceless,Treant Protector,Witch Doctor,Omniknight,Anti-Mage,Tiny,Dire,2nd Pick,Kiev Major
2,Dire,1st Pick,Nyx Assassin,Slardar,Dazzle,Spectre,Templar Assassin,TnC,Team Faceless,Ogre Magi,Crystal Maiden,Abaddon,Slark,Storm Spirit,Radiant,2nd Pick,Kiev Major
1,Dire,1st Pick,Warlock,Ursa,Io,Centaur Warrunner,Templar Assassin,Virtus Pro,iG Vitality,Omniknight,Crystal Maiden,Sand King,Spectre,Ember Spirit,Radiant,2nd Pick,Kiev Major
1,Dire,2nd Pick,Ursa,Crystal Maiden,Slardar,Dark Seer,Shadow Fiend,Virtus Pro,iG Vitality,Omniknight,Riki,Warlock,Ember Spirit,Sven,Radiant,1st Pick,Kiev Major
2,Radiant,2nd Pick,Nyx Assassin,Invoker,Magnus,Juggernaut,Vengeful Spirit,Digital Chaos,Vici Gaming J,Warlock,Lifestealer,Monkey King,Centaur Warrunner,Lina,Dire,1st Pick,Kiev Major
2,Dire,2nd Pick,Monkey King,Warlock,Spectre,Ember Spirit,Nature's Prophet,Digital Chaos,Vici Gaming J,Abaddon,Vengeful Spirit,Treant Protector,Medusa,Phoenix,Radiant,1st Pick,Kiev Major
1,Dire,2nd Pick,Tusk,Lycan,Winter Wyvern,Nature's Prophet,Death Prophet,Liquid,Newbee,Legion Commander,Sven,Silencer,Ember Spirit,Earth Spirit,Radiant,1st Pick,Kiev Major
1,Dire,2nd Pick,Doom,Tusk,Dazzle,Spectre,Templar Assassin,Liquid,Newbee,Legion Commander,Juggernaut,Warlock,Ember Spirit,Sand King,Radiant,1st Pick,Kiev Major
2,Radiant,2nd Pick,Treant Protector,Lion,Spectre,Doom,Tinker,Liquid,Newbee,Crystal Maiden,Nyx Assassin,Juggernaut,Shadow Fiend,Omniknight,Dire,1st Pick,Kiev Major
1,Radiant,2nd Pick,Omniknight,Vengeful Spirit,Warlock,Sand King,Medusa,Invictus Gaming,Mousesports,Bounty Hunter,Abaddon,Disruptor,Lina,Phantom Lancer,Dire,1st Pick,Kiev Major
2,Dire,2nd Pick,Magnus,Juggernaut,Lina,Ogre Magi,Treant Protector,Invictus Gaming,Mousesports,Riki,Abaddon,Templar Assassin,Lycan,Bane,Radiant,1st Pick,Kiev Major
