,,,Elder Titan,Batrider,Keeper of the Light,Anti-Mage,Axe, Wings Gaming,Digital Chaos ,Mirana,Timbersaw,Vengeful Spirit,Slark,Night Stalker,,,The International 2016
,,,Oracle,Faceless Void,Kunkka,Death Prophet,Nyx Assassin, Wings Gaming,Digital Chaos ,Mirana,Timbersaw,Winter Wyvern,Sand King,Clinkz,,,The International 2016
,,,Oracle,Faceless Void,Invoker,Sand King,Slardar, Wings Gaming,Digital Chaos ,Mirana,Naga Siren,Shadow Demon,Doom,Razor,,,The International 2016
,,,Io,Storm Spirit,Slardar,Silencer,Pudge, Wings Gaming,Digital Chaos ,Timbersaw,Keeper of the Light,Ogre Magi,Faceless Void,Skywrath Mage,,,The International 2016
,,,Elder Titan,Tidehunter,Dazzle,Terrorblade,Brewmaster, Evil Geniuses Dota2,Digital Chaos ,Beastmaster,Shadow Demon,Ursa,Kunkka,Slark,,,The International 2016
,,,Elder Titan,Beastmaster,Dazzle,Sven,Medusa, Evil Geniuses Dota2,Digital Chaos ,Faceless Void,Ogre Magi,Witch Doctor,Slark,Jakiro,,,The International 2016
,,,Shadow Demon,Faceless Void,Kunkka,Luna,Queen of Pain, Evil Geniuses Dota2,Digital Chaos ,Mirana,Naga Siren,Oracle,Tidehunter,Razor,,,The International 2016
,,,Shadow Demon,Beastmaster,Kunkka,Invoker,Chaos Knight, Digital Chaos,Fnatic.Dota2 ,Elder Titan,Faceless Void,Io,Huskar,Ember Spirit,,,The International 2016
,,,Slardar,Keeper of the Light,Slark,Ursa,Dark Seer, Digital Chaos,Fnatic.Dota2 ,Mirana,Kunkka,Legion Commander,Shadow Shaman,Phantom Lancer,,,The International 2016
,,,Elder Titan,Beastmaster,Shadow Demon,Medusa,Huskar, Wings Gaming,Evil Geniuses Dota2 ,Mirana,Ogre Magi,Night Stalker,Winter Wyvern,Alchemist,,,The International 2016
,,,Timbersaw,Rubick,Razor,Tidehunter,Enigma, Wings Gaming,Evil Geniuses Dota2 ,Io,Sand King,Skywrath Mage,Anti-Mage,Weaver,,,The International 2016
,,,Mirana,Faceless Void,Oracle,Sven,Ogre Magi, MVP ,Fnatic.Dota2 ,Slardar,Riki,Juggernaut,Shadow Shaman,Medusa,,,The International 2016
,,,Slardar,Ogre Magi,Timbersaw,Lich,Dark Seer, MVP ,Fnatic.Dota2 ,Bounty Hunter,Slark,Crystal Maiden,Sand King,Tinker,,,The International 2016
,,,Shadow Demon,Kunkka,Nyx Assassin,Death Prophet,Lifestealer, EHOME,Digital Chaos ,Mirana,Timbersaw,Ogre Magi,Faceless Void,Skywrath Mage,,,The International 2016
,,,Shadow Demon,Kunkka,Sand King,Anti-Mage,Razor, EHOME,Digital Chaos ,Naga Siren,Elder Titan,Timbersaw,Invoker,Vengeful Spirit,,,The International 2016
,,,Drow Ranger,Undying,Shadow Shaman,Sand King,Queen of Pain, Fnatic.Dota2,Team Liquid ,Oracle,Axe,Razor,Sven,Ancient Apparition,,,The International 2016
,,,Shadow Demon,Luna,Undying,Slardar,Ember Spirit, Fnatic.Dota2,Team Liquid ,Sand King,Kunkka,Rubick,Naga Siren,Death Prophet,,,The International 2016
,,,Vengeful Spirit,Terrorblade,Faceless Void,Disruptor,Alchemist, TnC Dota 2,Digital Chaos ,Mirana,Winter Wyvern,Sand King,Slark,Dark Seer,,,The International 2016
,,,Axe,Timbersaw,Alchemist,Lich,Silencer, TnC Dota 2,Digital Chaos ,Elder Titan,Faceless Void,Ancient Apparition,Magnus,Ember Spirit,,,The International 2016
,,,Vengeful Spirit,Drow Ranger,Dazzle,Batrider,Morphling, TnC Dota 2,Digital Chaos ,Keeper of the Light,Naga Siren,Tusk,Beastmaster,Dragon Knight,,,The International 2016
,,,Mirana,Warlock,Earth Spirit,Timbersaw,Axe, EHOME,Evil Geniuses Dota2 ,Shadow Demon,Faceless Void,Ogre Magi,Drow Ranger,Medusa,,,The International 2016
,,,Juggernaut,Warlock,Ogre Magi,Timbersaw,Beastmaster, EHOME,Evil Geniuses Dota2 ,Mirana,Axe,Shadow Demon,Faceless Void,Ancient Apparition,,,The International 2016
,,,Bounty Hunter,Dark Seer,Spirit Breaker,Phantom Assassin,Ursa, MVP ,Wings Gaming ,Elder Titan,Faceless Void,Disruptor,Juggernaut,Batrider,,,The International 2016
,,,Oracle,Dark Seer,Phantom Assassin,Earth Spirit,Invoker, MVP ,Wings Gaming ,Io,Drow Ranger,Puck,Queen of Pain,Warlock,,,The International 2016
,,,Io,Batrider,Morphling,Timbersaw,Shadow Shaman, Newbee,Team Liquid ,Mirana,Shadow Demon,Axe,Anti-Mage,Undying,,,The International 2016
,,,Batrider,Juggernaut,Disruptor,Timbersaw,Chen, Newbee,Team Liquid ,Shadow Demon,Mirana,Sand King,Morphling,Undying,,,The International 2016
,,,Batrider,Shadow Demon,Naga Siren,Lifestealer,Nyx Assassin, Newbee,Team Liquid ,Mirana,Sand King,Keeper of the Light,Kunkka,Ember Spirit,,,The International 2016
,,,Nature's Prophet,Rubick,Enchantress,Lifestealer,Puck, Alliance,Fnatic.Dota2 ,Mirana,Batrider,Witch Doctor,Faceless Void,Timbersaw,,,The International 2016
,,,Mirana,Drow Ranger,Dazzle,Tidehunter,Elder Titan, Alliance,Fnatic.Dota2 ,Bounty Hunter,Slardar,Shadow Demon,Sven,Storm Spirit,,,The International 2016
,,,Mirana,Timbersaw,Bounty Hunter,Winter Wyvern,Gyrocopter, Digital Chaos,LGD ,Beastmaster,Elder Titan,Disruptor,Dragon Knight,Necrophos,,,The International 2016
,,,Nyx Assassin,Shadow Demon,Kunkka,Invoker,Naga Siren, Digital Chaos,LGD ,Batrider,Elder Titan,Lifestealer,Templar Assassin,Rubick,,,The International 2016
,,,Io,Dark Seer,Ogre Magi,Tiny,Ember Spirit, OG,TnC Dota 2 ,Vengeful Spirit,Drow Ranger,Dazzle,Faceless Void,Huskar,,,The International 2016
,,,Drow Ranger,Enchantress,Faceless Void,Medusa,Witch Doctor, OG,TnC Dota 2 ,Elder Titan,Axe,Lifestealer,Vengeful Spirit,Phantom Lancer,,,The International 2016
,,,Elder Titan,Faceless Void,Shadow Demon,Timbersaw,Morphling, Evil Geniuses Dota2,Newbee ,Oracle,Alchemist,Sand King,Skywrath Mage,Lifestealer,,,The International 2016
,,,Io,Batrider,Winter Wyvern,Storm Spirit,Sven, Evil Geniuses Dota2,Newbee ,Elder Titan,Slardar,Shadow Demon,Slark,Dragon Knight,,,The International 2016
,,,Shadow Demon,Mirana,Elder Titan,Sven,Sand King, EHOME,Alliance ,Ogre Magi,Lone Druid,Skywrath Mage,Batrider,Phantom Assassin,,,The International 2016
,,,Shadow Demon,Mirana,Juggernaut,Undying,Sand King, EHOME,Alliance ,Ogre Magi,Drow Ranger,Keeper of the Light,Bristleback,Storm Spirit,,,The International 2016
,,,Oracle,Nature's Prophet,Queen of Pain,Enchantress,Faceless Void, Natus Vincere Dota 2,Shadow Demon,Axe,Bounty Hunter,Naga Siren,Death Prophet," 		9. Aug 2016 	",,,The International 2016
,,,Bounty Hunter,Tidehunter,Shadow Shaman,Phantom Lancer,Templar Assassin, Fnatic.Dota2,Escape Gaming Dota 2 ,Slardar,Night Stalker,Lifestealer,Silencer,Axe,,,The International 2016
,,,Shadow Demon,Alchemist,Terrorblade,Beastmaster,Vengeful Spirit, Team Secret,LGD ,Mirana,Kunkka,Juggernaut,Ember Spirit,Winter Wyvern,,,The International 2016
,,,Elder Titan,Batrider,Terrorblade,Silencer,Tinker, TnC Dota 2,Vici Gaming Reborn ,Axe,Mirana,Vengeful Spirit,Weaver,Storm Spirit,,,The International 2016
,,,Oracle,Batrider,Riki,Morphling,Invoker, Digital Chaos,Wings Gaming ,Timbersaw,Rubick,Slark,Chen,Centaur Warrunner,,,The International 2016
,,,Shadow Demon,Kunkka,Timbersaw,Luna,Invoker, Digital Chaos,Wings Gaming ,Mirana,Naga Siren,Skywrath Mage,Pudge,Techies,,,The International 2016
,,,Oracle,Alchemist,Kunkka,Axe,Nature's Prophet, Digital Chaos,Wings Gaming ,Mirana,Drow Ranger,Rubick,Brewmaster,Keeper of the Light,,,The International 2016
,,,Elder Titan,Faceless Void,Keeper of the Light,Sven,Tinker, OG,MVP ,Axe,Ogre Magi,Shadow Fiend,Phantom Assassin,Invoker,,,The International 2016
,,,Batrider,Naga Siren,Oracle,Terrorblade,Outworld Devourer, OG,MVP ,Faceless Void,Alchemist,Vengeful Spirit,Mirana,Venomancer,,,The International 2016
,,,Batrider,Earth Spirit,Juggernaut,Shadow Fiend,Timbersaw, OG,MVP ,Faceless Void,Dark Seer,Spirit Breaker,Phantom Assassin,Bounty Hunter,,,The International 2016
,,,Mirana,Nyx Assassin,Dazzle,Legion Commander,Meepo, Digital Chaos,EHOME ,Shadow Demon,Juggernaut,Naga Siren,Undying,Axe,,,The International 2016
,,,Oracle,Batrider,Alchemist,Riki,Nature's Prophet, Digital Chaos,EHOME ,Shadow Demon,Mirana,Ogre Magi,Luna,Sand King,,,The International 2016
,,,Ogre Magi,Alchemist,Nyx Assassin,Dazzle,Gyrocopter, Newbee,MVP ,Faceless Void,Elder Titan,Dark Seer,Phantom Assassin,Spirit Breaker,,,The International 2016
,,,Slardar,Disruptor,Oracle,Drow Ranger,Huskar, Newbee,MVP ,Mirana,Naga Siren,Ogre Magi,Elder Titan,Keeper of the Light,,,The International 2016
